Timestamp, Relative_Time_s, Absolute_Humidity
2026-05-26 15:46:16, 0.00, 10.73143
2026-05-26 15:46:16, 0.07, 10.65080
2026-05-26 15:46:16, 0.14, 10.82091
2026-05-26 15:46:17, 0.20, 11.68850
2026-05-26 15:46:17, 0.26, 11.17388
2026-05-26 15:46:17, 0.32, 10.66747
2026-05-26 15:46:17, 0.38, 10.65924
2026-05-26 15:46:17, 0.46, 11.04360
2026-05-26 15:46:17, 0.52, 10.73547
2026-05-26 15:46:17, 0.58, 10.28512
2026-05-26 15:46:17, 0.64, 10.73626
2026-05-26 15:46:17, 0.70, 11.56517
2026-05-26 15:46:17, 0.76, 11.45436
2026-05-26 15:46:17, 0.82, 10.49975
2026-05-26 15:46:17, 0.88, 10.26232
2026-05-26 15:46:17, 0.94, 10.45148
2026-05-26 15:46:17, 1.00, 11.33041
2026-05-26 15:46:17, 1.05, 11.21197
2026-05-26 15:46:17, 1.12, 10.70541
2026-05-26 15:46:17, 1.18, 10.99077
2026-05-26 15:46:18, 1.24, 11.39761
2026-05-26 15:46:18, 1.30, 10.94825
2026-05-26 15:46:18, 1.35, 10.83622
2026-05-26 15:46:18, 1.41, 10.80673
2026-05-26 15:46:18, 1.48, 10.70046
2026-05-26 15:46:18, 1.54, 10.97668
2026-05-26 15:46:18, 1.61, 10.77733
2026-05-26 15:46:18, 1.67, 10.50933
2026-05-26 15:46:18, 1.74, 10.98415
2026-05-26 15:46:18, 1.80, 11.09998
2026-05-26 15:46:18, 1.88, 10.71022
2026-05-26 15:46:18, 1.96, 11.09544
2026-05-26 15:46:18, 2.02, 10.89422
2026-05-26 15:46:18, 2.09, 10.25041
2026-05-26 15:46:18, 2.16, 11.11828
2026-05-26 15:46:19, 2.24, 10.90657
2026-05-26 15:46:19, 2.32, 10.90119
2026-05-26 15:46:19, 2.38, 10.44424
2026-05-26 15:46:19, 2.46, 10.96749
2026-05-26 15:46:19, 2.52, 10.89227
2026-05-26 15:46:19, 2.58, 10.81396
2026-05-26 15:46:19, 2.66, 10.85305
2026-05-26 15:46:19, 2.72, 11.07838
2026-05-26 15:46:19, 2.78, 10.93539
2026-05-26 15:46:19, 2.84, 11.14113
2026-05-26 15:46:19, 2.92, 11.10167
2026-05-26 15:46:19, 2.98, 10.96542
2026-05-26 15:46:19, 3.06, 10.68294
2026-05-26 15:46:19, 3.12, 10.63797
2026-05-26 15:46:19, 3.18, 10.88677
2026-05-26 15:46:20, 3.24, 11.08174
2026-05-26 15:46:20, 3.30, 11.32613
2026-05-26 15:46:20, 3.38, 10.57391
2026-05-26 15:46:20, 3.46, 10.66736
2026-05-26 15:46:20, 3.59, 10.87167
2026-05-26 15:46:20, 3.69, 10.73001
2026-05-26 15:46:20, 3.76, 11.02679
2026-05-26 15:46:20, 3.84, 10.81416
2026-05-26 15:46:20, 3.90, 11.31448
2026-05-26 15:46:20, 3.96, 11.23502
2026-05-26 15:46:20, 4.02, 10.68245
2026-05-26 15:46:20, 4.08, 10.16865
2026-05-26 15:46:20, 4.14, 10.90697
2026-05-26 15:46:21, 4.20, 11.59663
2026-05-26 15:46:21, 4.26, 11.50957
2026-05-26 15:46:21, 4.32, 11.05285
2026-05-26 15:46:21, 4.38, 10.06967
2026-05-26 15:46:21, 4.44, 10.88139
2026-05-26 15:46:21, 4.50, 11.30701
2026-05-26 15:46:21, 4.56, 11.16674
2026-05-26 15:46:21, 4.63, 10.73252
2026-05-26 15:46:21, 4.70, 11.42551
2026-05-26 15:46:21, 4.76, 11.35950
2026-05-26 15:46:21, 4.82, 10.68555
2026-05-26 15:46:21, 4.88, 10.16307
2026-05-26 15:46:21, 4.96, 11.34890
2026-05-26 15:46:21, 5.02, 10.86463
2026-05-26 15:46:21, 5.08, 10.57289
